file,OVRL,SIG,BAK
jakubie_v8_cfg_0.70.wav,1.7700215825844368,1.9101781051052862,3.7911013990633227
jakubie_v8_cfg_0.60.wav,1.7700215825844368,1.9101781051052862,3.7911013990633227
jakubie_v8_cfg_1.30.wav,1.975775745220219,2.14276464955234,3.886851695858198
jakubie_v8_cfg_1.10.wav,1.911520051522858,2.0657956690147143,3.810765087339431
jakubie_v8_cfg_0.75.wav,1.7700215825844368,1.9101781051052862,3.7911013990633227
jakubie_v8_cfg_1.35.wav,1.9824028832923324,2.1579660335235826,3.8662986884800126
jakubie_v8_cfg_2.80.wav,2.4984772825419688,2.6947985903692357,4.061793560882427
jakubie_v8_cfg_1.45.wav,2.1376589476723504,2.320928060392301,3.9035798097747425
jakubie_v8_cfg_opt.wav,2.8841729459615735,3.076404446291794,4.125757116354463
jakubie_v8_cfg_1.85.wav,2.209787325638127,2.37976859730179,4.0035947221335055
jakubie_v8_cfg_1.65.wav,2.2417975823026994,2.4077300348362414,4.003458979628885
jakubie_v8_pred_vocos.wav,2.539301094405503,2.7239993822498794,4.033031851293915
jakubie_v8_cfg_1.90.wav,2.223140666030954,2.4006693846627987,4.000463003227688
jakubie_v8_cfg_2.00.wav,2.3714094243612966,2.558839823228585,4.062875140029457
jakubie_v8_cfg_0.95.wav,2.0214091618576675,2.186513370215979,3.877396153277573
jakubie_v8_cfg_1.15.wav,1.9151311244821159,2.079225927629007,3.813887169440151
jakubie_v8_cfg_0.50.wav,1.7700215825844368,1.9101781051052862,3.7911013990633227
jakubie_v8_cfg_2.40.wav,2.4673710780137093,2.6506165858962247,4.079005547435228
jakubie_v8_pred.wav,1.3253083800950836,1.2519342784316365,2.4330521061642734
jakubie_v8_cfg_1.50.wav,2.2329657548712807,2.412557191714325,3.949896816994836
jakubie_v8_cfg_1.00.wav,2.0214091618576675,2.186513370215979,3.877396153277573
jakubie_v8_cfg_0.65.wav,1.7700215825844368,1.9101781051052862,3.7911013990633227
jakubie_v8_cfg_2.60.wav,2.517518753240968,2.713395982344566,4.064261723460709
jakubie_v8_cfg_0.80.wav,1.7700215825844368,1.9101781051052862,3.7911013990633227
jakubie_v8_cfg_1.40.wav,2.0392695522775335,2.2115936778571603,3.884469256309953
jakubie_v8_cfg_1.05.wav,2.0153148776376155,2.171256293870479,3.8691449892056395
jakubie_v8_cfg_1.70.wav,2.2710833887678263,2.4409194132210628,4.010119586933437
jakubie_v8_cfg_0.55.wav,1.7700215825844368,1.9101781051052862,3.7911013990633227
jakubie_v8_cfg_1.55.wav,2.1815738779732468,2.353741865246088,3.951591901065929
jakubie_v8_cfg_0.90.wav,2.0214091618576675,2.186513370215979,3.877396153277573
jakubie_v8_cfg_1.75.wav,2.179198303972797,2.3470756224203453,3.985348481478783
jakubie_v8_cfg_0.85.wav,1.7700215825844368,1.9101781051052862,3.7911013990633227
jakubie_v8_cfg_1.25.wav,1.9343566856366652,2.1252490325932465,3.797735481225721
jakubie_v8_cfg_1.20.wav,1.968337298360964,2.144472958648499,3.8404836790747896
jakubie_v8_cfg_2.20.wav,2.3933920954381938,2.5872923993528607,4.060133652336309
jakubie_v8_cfg_1.95.wav,2.255539267340665,2.4338912969899185,4.003396804664319
jakubie_v8_cfg_3.00.wav,2.434076985492829,2.618392098634898,4.054707410550861
jakubie_v8_cfg_1.60.wav,2.1580579958330737,2.3217318527696373,3.96816417388506
jakubie_v8_cfg_1.80.wav,2.257449114381976,2.430100694896487,4.003359491151337
